date,net,cash,holdings,cost_basis,starting_cash,margin,mtm,realized,pnls,liquid_value,commissions,charges,day_pnl,gross_leverage,net_leverage,gross_exposure,net_exposure,long_exposure,short_exposure,longs_count,shorts_count,algo_returns,algo_cum_returns,algo_volatility,drawdown,sharpe,strategy_vol,benchmark,benchmark_returns,alpha,beta
2023-06-14 00:00:00+05:30,49911.2800,25885.0300,24026.2500,24114.9700,50000.0000,0.0000,-88.7200,0.0000,-88.7200,49911.2800,0.0000,0.0000,-88.7200,0.4800,0.4800,24026.2500,24026.2500,24026.2500,0.0000,1,0,-0.0018,-0.0018,0.0286,-0.0018,,,50000.0000,0.0000,,
2023-06-15 00:00:00+05:30,49875.8700,49875.8700,0.0000,0.0000,50000.0000,0.0000,0.0000,-124.1300,-124.1300,49875.8700,0.0000,0.0000,-35.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,-0.0007,-0.0025,0.0217,-0.0007,,,49819.9966,-0.0036,,
2023-06-16 00:00:00+05:30,49875.8700,49875.8700,0.0000,0.0000,50000.0000,0.0000,0.0000,-124.1300,-124.1300,49875.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,-0.0025,0.0177,-0.0007,,,50197.2037,0.0076,,
2023-06-19 00:00:00+05:30,49779.0700,25705.5700,24073.5000,24170.3000,50000.0000,0.0000,-96.8000,-124.1300,-220.9300,49779.0700,0.0000,0.0000,-96.8000,0.4800,0.4800,24073.5000,24073.5000,24073.5000,0.0000,1,0,-0.0019,-0.0044,0.0215,-0.0026,,,50012.1336,-0.0037,,
2023-06-20 00:00:00+05:30,49660.1900,49660.1900,0.0000,0.0000,50000.0000,0.0000,0.0000,-339.8100,-339.8100,49660.1900,0.0000,0.0000,-118.8800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,-0.0024,-0.0068,0.0257,-0.0050,,,50224.1375,0.0042,,
2023-06-21 00:00:00+05:30,49991.5100,25446.2600,24545.2500,24213.9300,50000.0000,0.0000,331.3200,-339.8100,-8.4900,49991.5100,0.0000,0.0000,331.3200,0.4900,0.4900,24545.2500,24545.2500,24545.2500,0.0000,1,0,0.0067,-0.0002,0.0494,0.0000,,,50299.8723,0.0015,,
2023-06-22 00:00:00+05:30,50136.9900,2437.7900,47699.2000,47222.4000,50000.0000,0.0000,476.8000,-339.8100,136.9900,50136.9900,0.0000,0.0000,145.4800,0.9500,0.9500,47699.2000,47699.2000,47699.2000,0.0000,1,0,0.0029,0.0027,0.0489,0.0000,,,50079.2015,-0.0044,,
2023-06-23 00:00:00+05:30,49948.7400,49948.7400,0.0000,0.0000,50000.0000,0.0000,0.0000,-51.2600,-51.2600,49948.7400,0.0000,0.0000,-188.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,-0.0038,-0.0010,0.0505,-0.0038,,,49783.7293,-0.0059,,
2023-06-26 00:00:00+05:30,49948.7400,49948.7400,0.0000,0.0000,50000.0000,0.0000,0.0000,-51.2600,-51.2600,49948.7400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,-0.0010,0.0476,-0.0038,,,49853.4639,0.0014,,
2023-06-27 00:00:00+05:30,49948.7400,49948.7400,0.0000,0.0000,50000.0000,0.0000,0.0000,-51.2600,-51.2600,49948.7400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,-0.0010,0.0452,-0.0038,,,50183.8701,0.0066,,
2023-06-28 00:00:00+05:30,50076.9300,26665.4300,23411.5000,23283.3100,50000.0000,0.0000,128.1900,-51.2600,76.9300,50076.9300,0.0000,0.0000,128.1900,0.4700,0.4700,23411.5000,23411.5000,23411.5000,0.0000,1,0,0.0026,0.0015,0.0449,-0.0012,,,50648.9454,0.0093,,
2023-06-30 00:00:00+05:30,50620.8100,3008.2100,47612.6000,46940.5300,50000.0000,0.0000,672.0700,-51.2600,620.8100,50620.8100,0.0000,0.0000,543.8800,0.9400,0.9400,47612.6000,47612.6000,47612.6000,0.0000,1,0,0.0109,0.0124,0.0659,0.0000,,,51156.1549,0.0100,,
2023-07-03 00:00:00+05:30,51196.2100,3008.2100,48188.0000,46940.5300,50000.0000,0.0000,1247.4700,-51.2600,1196.2100,51196.2100,0.0000,0.0000,575.4000,0.9400,0.9400,48188.0000,48188.0000,48188.0000,0.0000,1,0,0.0114,0.0239,0.0808,0.0000,,,51549.3623,0.0077,,
2023-07-04 00:00:00+05:30,51366.0900,51366.0900,0.0000,0.0000,50000.0000,0.0000,0.0000,1366.0900,1366.0900,51366.0900,0.0000,0.0000,169.8800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0033,0.0273,0.0791,0.0000,,,51695.7650,0.0028,,
2023-07-05 00:00:00+05:30,51366.0900,51366.0900,0.0000,0.0000,50000.0000,0.0000,0.0000,1366.0900,1366.0900,51366.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0273,0.0764,0.0000,,,51775.0998,0.0015,,
2023-07-06 00:00:00+05:30,51366.0900,51366.0900,0.0000,0.0000,50000.0000,0.0000,0.0000,1366.0900,1366.0900,51366.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0273,0.0740,0.0000,,,51964.3033,0.0037,,
2023-07-07 00:00:00+05:30,51366.0900,51366.0900,0.0000,0.0000,50000.0000,0.0000,0.0000,1366.0900,1366.0900,51366.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0273,0.0718,0.0000,,,51533.3620,-0.0083,,
2023-07-10 00:00:00+05:30,51196.7900,26326.7900,24870.0000,25039.3000,50000.0000,0.0000,-169.3000,1366.0900,1196.7900,51196.7900,0.0000,0.0000,-169.3000,0.4900,0.4900,24870.0000,24870.0000,24870.0000,0.0000,1,0,-0.0033,0.0239,0.0709,-0.0033,,,51648.5641,0.0022,,
2023-07-11 00:00:00+05:30,51235.4600,51235.4600,0.0000,0.0000,50000.0000,0.0000,0.0000,1235.4600,1235.4600,51235.4600,0.0000,0.0000,38.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0008,0.0247,0.0691,-0.0025,,,51862.7014,0.0041,,
2023-07-12 00:00:00+05:30,51235.4600,51235.4600,0.0000,0.0000,50000.0000,0.0000,0.0000,1235.4600,1235.4600,51235.4600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0247,0.0674,-0.0025,,,51693.6316,-0.0033,,
2023-07-13 00:00:00+05:30,51235.4600,51235.4600,0.0000,0.0000,50000.0000,0.0000,0.0000,1235.4600,1235.4600,51235.4600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0247,0.0658,-0.0025,,,51849.5012,0.0030,,
