date,HDFCBANK
2023-06-14 15:35:00+05:30,15.0
2023-06-15 15:35:00+05:30,
2023-06-16 15:35:00+05:30,
2023-06-19 15:35:00+05:30,15.0
2023-06-20 15:35:00+05:30,
2023-06-21 15:35:00+05:30,15.0
2023-06-22 15:35:00+05:30,29.0
2023-06-23 15:35:00+05:30,
2023-06-26 15:35:00+05:30,
2023-06-27 15:35:00+05:30,
2023-06-28 15:35:00+05:30,14.0
2023-06-30 15:35:00+05:30,28.0
2023-07-03 15:35:00+05:30,28.0
2023-07-04 15:35:00+05:30,
2023-07-05 15:35:00+05:30,
2023-07-06 15:35:00+05:30,
2023-07-07 15:35:00+05:30,
2023-07-10 15:35:00+05:30,15.0
2023-07-11 15:35:00+05:30,
2023-07-12 15:35:00+05:30,
2023-07-13 15:35:00+05:30,
